date,VIX,BICLB10Y,SKEW,TWOs10s,FIVEs30s,FED5Y,CUGOLD,CSIBARC
2007-04-12,0.1271,0.017155,1.2692,0.0000800000000000001,0.002543,0.025489,11.3547434477667,0.00029
2007-04-13,0.122,0.016992,1.2862,-3.00000000000189E-06,0.00244499999999999,0.025483,11.3017968463513,0.000285
2007-04-16,0.1198,0.016854,1.2549,-1.29999999999963E-05,0.00226,0.02532,11.2600145666424,0.000286
2007-04-17,0.1214,0.016897,1.3062,0.000121000000000002,0.002439,0.025299,11.6991279069767,0.000288
2007-04-18,0.1242,0.016798,1.3035,0.000157999999999996,0.00255100000000001,0.025128,11.5934664246824,0.000289
2007-04-19,0.1254,0.016858,1.2611,0.000297000000000001,0.002659,0.025317,11.4752896319108,0.000287
2007-04-20,0.1207,0.016897,1.2837,0.000269000000000004,0.00278,0.025386,11.5056407289557,0.000283
2007-04-23,0.1304,0.016998,1.2355,0.000223000000000004,0.002871,0.025414,11.6306083926238,0.000284
2007-04-24,0.1312,0.016898,1.2417,0.000278,0.002961,0.025313,11.3596746077862,0.000285
2007-04-25,0.1321,0.016898,1.2268,0.000235000000000003,0.002873,0.025274,11.4912280701754,0.000282
2007-04-26,0.1279,0.016836,1.2325,0.000308999999999999,0.002811,0.025384,11.3803863298663,0.000277
2007-04-27,0.1245,0.016976,1.2473,0.000434999999999999,0.002994,0.025535,11.4317343173432,0.000279
2007-04-30,0.1422,0.016878,1.2337,0.000312000000000001,0.003025,0.025308,11.4638109305761,0.000285
2007-05-01,0.1351,0.016738,1.2545,0.000119999999999996,0.002798,0.025278,11.8616389548694,0.000284
2007-05-02,0.1308,0.016678,1.2314,1.29999999999963E-05,0.00269200000000001,0.025191,11.882001493652,0.000283
2007-05-03,0.1309,0.016477,1.2303,-0.000186999999999999,0.00253399999999999,0.025162,12.1328982497775,0.00028
2007-05-04,0.1291,0.016518,1.2311,-0.000282999999999998,0.002557,0.025049,12.0789779326365,0.000281
2007-05-07,0.1315,0.016538,1.233,-0.000404,0.002399,0.024803,12.0789779326365,0.000282
2007-05-08,0.1321,0.016558,1.2074,-0.000326000000000004,0.002598,0.02473,11.9327731092437,0.000282
2007-05-09,0.1288,0.016582,1.2124,-0.000639999999999992,0.002513,0.024889,11.7862371888726,0.000278
2007-05-10,0.136,0.016721,1.195,-0.000376000000000003,0.002763,0.024859,11.7149220489978,0.000278
2007-05-11,0.1295,0.016583,1.2166,-0.000295999999999994,0.002643,0.024956,11.8011958146487,0.000275
2007-05-14,0.1396,0.016464,1.1978,-0.000332999999999997,0.002576,0.024612,11.4159952253059,0.000272
2007-05-15,0.1401,0.016584,1.2117,-0.000255999999999998,0.002575,0.024624,11.6124205013094,0.000272
2007-05-16,0.135,0.016404,1.234,-0.000178000000000003,0.002544,0.024413,11.3964807188319,0.00027
2007-05-17,0.1351,0.016483,1.2334,-0.000270000000000001,0.00238799999999999,0.024547,11.0407308717168,0.000267
2007-05-18,0.1276,0.016399,1.2675,-0.000137,0.00232600000000001,0.024541,11.0684931506849,0.000262
2007-05-21,0.133,0.01638,1.2622,-0.000149999999999997,0.002263,0.024869,11.2537993920973,0.000263
2007-05-22,0.1306,0.016355,1.2474,-7.10000000000033E-05,0.002263,0.025125,10.9682779456193,0.000259
2007-05-23,0.1324,0.016432,1.2317,0.000148000000000001,0.002348,0.025386,10.8768219922967,0.000256
2007-05-24,0.1408,0.016513,1.2171,6.30000000000042E-05,0.002211,0.025717,10.6221547799697,0.000258
2007-05-25,0.1334,0.016228,1.24,5.89999999999957E-05,0.002078,0.025407,10.9873340454754,0.000258
2007-05-28,0.1334,0.016228,1.24,5.60000000000027E-05,0.002077,0.025407,10.9873340454754,0.000258
2007-05-29,0.1353,0.016182,1.2405,-0.000137,0.001859,0.025293,11.0050746042566,0.000257
2007-05-30,0.1283,0.016225,1.2469,-7.50000000000028E-05,0.001775,0.025604,11.0411399678235,0.000259
2007-05-31,0.1305,0.016121,1.2384,-0.000202,0.001638,0.025667,11.1970869367319,0.000259
2007-06-01,0.1278,0.015984,1.2423,-0.000148999999999999,0.00136,0.025873,11.1777944486122,0.000254
2007-06-04,0.1329,0.015829,1.2226,-0.000309999999999997,0.001155,0.025825,11.3619430785278,0.000257
2007-06-05,0.1363,0.015592,1.2293,-9.29999999999964E-05,0.00119,0.025942,11.2285927029039,0.000252
2007-06-06,0.1487,0.016059,1.1929,0.000143000000000004,0.00151999999999999,0.025972,11.079587875168,0.00026
2007-06-07,0.1706,0.0158,1.1752,0.001045,0.001535,0.0259,11.1102803738318,0.000255
2007-06-08,0.1484,0.016409,1.2208,0.001155,0.001699,0.026659,10.8966043494849,0.000263
2007-06-11,0.1471,0.015986,1.1971,0.00142399999999999,0.001857,0.026535,11.3178532984776,0.000258
2007-06-12,0.1667,0.015672,1.1951,0.00199,0.00197200000000001,0.026583,11.0853611432986,0.000252
2007-06-13,0.1473,0.015821,1.2159,0.001208,0.001434,0.026683,11.2637998919169,0.000262
2007-06-14,0.1364,0.015788,1.2242,0.001354,0.0014,0.026652,11.4137007271336,0.00026
2007-06-15,0.1394,0.015973,1.2163,0.001445,0.001703,0.026452,11.4836931557189,0.000263
2007-06-18,0.1342,0.016165,1.2046,0.001408,0.001962,0.02655,11.4939024390244,0.000264
2007-06-19,0.1285,0.016086,1.2338,0.00148300000000001,0.00200699999999999,0.02653,11.3134237391437,0.000271
2007-06-20,0.1467,0.015784,1.1756,0.001643,0.001995,0.026443,11.4322639501292,0.000269
2007-06-21,0.1421,0.015737,1.1797,0.00219,0.00229,0.026825,11.4373558800922,0.000272
2007-06-22,0.1575,0.0161,1.1652,0.002226,0.002386,0.027203,11.3885272267749,0.000278
2007-06-25,0.1665,0.016,1.1687,0.002155,0.002407,0.026985,11.4867460622359,0.000291
2007-06-26,0.1889,0.01632,1.1603,0.002136,0.002435,0.026785,11.3755795981453,0.000292
2007-06-27,0.1553,0.015998,1.1801,0.001887,0.002282,0.026642,11.4779629341224,0.000301
2007-06-28,0.1554,0.016167,1.1747,0.001619,0.00202,0.026603,11.650830436462,0.0003
2007-06-29,0.1623,0.015956,1.1572,0.001662,0.002026,0.026384,11.6218293620292,0.000308
2007-07-02,0.154,0.016108,1.1968,0.001477,0.002004,0.026621,11.8060328369607,0.000312
2007-07-03,0.1492,0.016128,1.1987,0.001626,0.002034,0.026346,11.8074130683989,0.000308
2007-07-04,0.1492,0.016128,1.1987,0.001628,0.002034,0.026346,11.9620882060689,0.000308
2007-07-05,0.1548,0.015998,1.2059,0.001735,0.00183800000000001,0.026349,12.073732718894,0.000301
2007-07-06,0.1472,0.015976,1.2085,0.001989,0.00181699999999999,0.026625,12.1156069364162,0.000299
2007-07-09,0.1516,0.016018,1.2063,0.001883,0.001928,0.026513,12.0831758034026,0.000305
2007-07-10,0.1757,0.016088,1.1748,0.00189100000000001,0.00203600000000001,0.026495,11.9540577300892,0.000323
2007-07-11,0.1664,0.01594,1.2169,0.001951,0.002187,0.026369,11.9758672699849,0.000325
2007-07-12,0.1554,0.015961,1.1999,0.001909,0.00200200000000001,0.026296,11.7272386661671,0.000322
2007-07-13,0.1515,0.016072,1.1959,0.001767,0.001845,0.026303,11.8229557389347,0.000322
2007-07-16,0.1559,0.015915,1.1788,0.001733,0.001837,0.026263,11.6966966966967,0.000319
2007-07-17,0.1563,0.016209,1.1799,0.001755,0.001848,0.026383,11.6504126031508,0.00032
2007-07-18,0.16,0.015717,1.2035,0.001803,0.001949,0.026482,11.7360329958755,0.000331
2007-07-19,0.1523,0.016141,1.1924,0.001765,0.001953,0.026628,11.8161601186064,0.000333
2007-07-20,0.1695,0.016203,1.174,0.001874,0.00219799999999999,0.026307,11.8984741784038,0.00035
2007-07-23,0.1681,0.016323,1.1884,0.001685,0.00215100000000001,0.026268,11.766862170088,0.000359
2007-07-24,0.1855,0.016815,1.1613,0.001723,0.002416,0.026979,11.6323250036534,0.000378
2007-07-25,0.181,0.016717,1.1639,0.001709,0.002508,0.026993,11.5272323082623,0.000385
2007-07-26,0.2074,0.018346,1.1627,0.002265,0.003512,0.026703,11.589552238806,0.000423
2007-07-27,0.2417,0.01913,1.1323,0.002641,0.00370200000000001,0.026925,11.7335352006056,0.000443
2007-07-30,0.2087,0.01898,1.1542,0.00218299999999999,0.00318799999999999,0.027203,11.8442932728647,0.000438
2007-07-31,0.2352,0.018912,1.1553,0.002214,0.003405,0.027237,12.0360631104433,0.000434
2007-08-01,0.2367,0.018281,1.1994,0.001919,0.002833,0.027021,11.8062335711603,0.000431
2007-08-02,0.2122,0.018346,1.1905,0.00190399999999999,0.002979,0.02689,11.8198874296435,0.000425
2007-08-03,0.2516,0.018858,1.173,0.002675,0.00381699999999999,0.02661,11.4392244593587,0.000433
2007-08-06,0.2294,0.018729,1.1881,0.002293,0.003446,0.026655,11.451973194341,0.000434
2007-08-07,0.2156,0.018323,1.1692,0.002101,0.003339,0.02671,11.5943113772455,0.000425
2007-08-08,0.2145,0.018333,1.2092,0.002189,0.003231,0.026903,11.2213175425611,0.000398
2007-08-09,0.2648,0.019322,1.153,0.003274,0.00456,0.026943,11.2737699969816,0.000412
2007-08-10,0.283,0.018824,1.1604,0.003514,0.004405,0.027003,11.1443530291698,0.000414
2007-08-13,0.2657,0.019301,1.195,0.003459,0.004602,0.026945,11.2971962616822,0.000414
2007-08-14,0.2768,0.019557,1.1501,0.003609,0.00505800000000001,0.026774,11.094486421785,0.000422
2007-08-15,0.3067,0.019957,1.183,0.00436800000000001,0.005753,0.027048,10.9554140127389,0.000434
2007-08-16,0.3083,0.020028,1.1658,0.004456,0.005992,0.027209,10.1774254435636,0.000451
2007-08-17,0.2999,0.020653,1.267,0.00500100000000001,0.006278,0.027059,10.6615969581749,0.000452
2007-08-20,0.2633,0.020943,1.1787,0.005426,0.006701,0.027116,10.6444275966641,0.000455
2007-08-21,0.2525,0.020996,1.1776,0.005668,0.006953,0.027216,10.6083650190114,0.000459
2007-08-22,0.2289,0.020548,1.2053,0.004626,0.00589,0.026912,10.841546626232,0.000445
2007-08-23,0.2262,0.020148,1.2135,0.003956,0.005287,0.027058,10.9738933030647,0.00044
2007-08-24,0.2072,0.020244,1.2279,0.003252,0.004738,0.026974,11.0690777029583,0.000443
2007-08-27,0.2272,0.020373,1.2153,0.003578,0.005216,0.027035,11.0690777029583,0.000447
2007-08-28,0.263,0.020938,1.1895,0.004378,0.006239,0.027209,10.9234234234234,0.000455
2007-08-29,0.2381,0.020613,1.2102,0.003976,0.005824,0.027027,11.0952201731276,0.000453
2007-08-30,0.2506,0.020739,1.201,0.004157,0.00598199999999999,0.026959,11.1111111111111,0.000457
2007-08-31,0.2338,0.020608,1.1726,0.00397200000000001,0.005782,0.0268,11.1011904761905,0.000455
2007-09-03,0.2338,0.020608,1.1726,0.00396999999999999,0.005782,0.0268,10.9970238095238,0.000455
2007-09-04,0.2278,0.020534,1.1962,0.004227,0.00575399999999999,0.027053,10.7697974217311,0.00045
2007-09-05,0.2458,0.020731,1.1807,0.00459,0.00624099999999999,0.027172,10.5255420801176,0.000455
2007-09-06,0.2399,0.020624,1.1734,0.00425100000000001,0.00585999999999999,0.027058,10.6081522923781,0.000449
2007-09-07,0.2623,0.020984,1.1672,0.004818,0.006565,0.02712,10.2332382310984,0.000464
2007-09-10,0.2738,0.02148,1.1542,0.004722,0.006522,0.027121,10.1776830135039,0.000472
2007-09-11,0.2527,0.021121,1.1645,0.004269,0.00587899999999999,0.027141,10.6156358730384,0.000467
2007-09-12,0.2496,0.021298,1.1662,0.004526,0.005788,0.027334,10.5099150141643,0.000462
2007-09-13,0.2476,0.021457,1.1736,0.0044,0.00555,0.02723,10.6997870830376,0.000454
2007-09-14,0.2492,0.021356,1.1796,0.004217,0.005487,0.027628,10.5395407272981,0.000454
2007-09-17,0.2648,0.02114,1.1787,0.003997,0.00496,0.02752,10.4311543810848,0.000448
2007-09-18,0.2035,0.021383,1.164,0.004979,0.006053,0.028289,10.6121021336132,0.000439
2007-09-19,0.2003,0.020942,1.2085,0.005553,0.006292,0.02832,10.8736123560643,0.000417
2007-09-20,0.2045,0.020343,1.1987,0.00586900000000001,0.006019,0.028547,10.7420013614704,0.000407
2007-09-21,0.19,0.020497,1.2115,0.005876,0.00594,0.028264,10.6987788331072,0.000406
2007-09-24,0.1937,0.020218,1.2282,0.00587,0.005804,0.028048,11.013698630137,0.000397
2007-09-25,0.186,0.020258,1.1858,0.00634,0.00639299999999999,0.02791,10.974605353466,0.000402
2007-09-26,0.1763,0.020398,1.1857,0.006386,0.006329,0.028128,10.8063967335829,0.000399
2007-09-27,0.17,0.02027,1.18,0.006205,0.006209,0.02824,10.960027331739,0.000416
2007-09-28,0.18,0.020035,1.1997,0.00603,0.00593,0.028232,10.7940780619112,0.000405
2007-10-01,0.1784,0.020048,1.2083,0.00545300000000001,0.00557399999999999,0.028072,10.9225589225589,0.000407
2007-10-02,0.1849,0.020184,1.2178,0.005547,0.005696,0.028126,11.1627906976744,0.000407
2007-10-03,0.188,0.019812,1.2179,0.005425,0.005496,0.028034,11.3659705580281,0.000402
